Species	Aridity	SummerPrecip	MaxAvgHigh	WinterPrecip	WinterAvgHigh
Oenothera_nuttallii	2.55	17.2	29	10.4	5.6
Oenothera_coronopifolia	2.47	14	30	13.6	9
Oenothera_wigginsii	7.25	0.3	32	15.1	26.8
Oenothera_deltoides_subsp._deltoides	12.8	2.3	40	9.1	21.7
Oenothera_engelmannii	3.66	16.2	35	11.9	17.2
Oenothera_albicaulis	3.31	15.5	33	11.2	12.2
Oenothera_californica_subsp._arizonica	8.16	6.9	41	11.7	23.3
Oenothera_californica_subsp._avita	6.58	4.5	35	12.8	14.7
Oenothera_californica_subsp._californica	4.04	1.6	34	30.1	18.4
Oenothera_californica_subsp._eurekensis	10	3.3	33	8.5	12.8
Oenothera_neomexicana	2.8	18.8	29	18.9	13
Oenothera_deltoides_subsp._ambigua	8.7	3.9	39	10.6	17.3
Oenothera_deltoides_subsp._howellii	3.05	0.5	31	39.8	17.1
Oenothera_deltoides_subsp._piperi	5.31	3.6	32	14.5	10.8
Oenothera_deltoides_subsp._cognata	6.43	0.4	36	19.9	18.1
Oenothera_latifolia	2.8	16	32	12.6	9.5
Oenothera_pallida_subsp._pallida	4.78	4.9	32	14.4	9.6
Oenothera_pallida_subsp._runcinata	4.88	10.7	32	11.3	13.2
Oenothera_pallida_subsp._gypsophila	7.34	9.7	36	7.9	18.5
Oenothera_pallida_subsp._trichocalyx	4.36	6.9	30	10.5	6.3
